,freq_items,frequency
0,'330' ,102
1,'729' ,102
2,'856' ,109
3,'490'  '856',103
4,'856'  '906',103
5,'490'  '856'  '906',103
6,'102' ,109
7,'199' ,109
8,'62' ,110
9,'191'  '276'  '339',102
10,'191'  '276'  '339'  '825',100
11,'191'  '276'  '339'  '914',102
12,'191'  '276'  '339'  '825'  '914',100
13,'191'  '339'  '90',102
14,'191'  '339'  '90'  '914',102
15,'191'  '339'  '825',103
16,'191'  '339'  '825'  '914',103
17,'191'  '339'  '914',106
18,'191'  '825'  '90',104
19,'191'  '825'  '90'  '914',103
20,'191'  '90'  '914',106
21,'191'  '276'  '825'  '90',102
22,'191'  '276'  '825'  '90'  '914',101
23,'191'  '276'  '90'  '914',103
24,'191'  '276'  '825',105
25,'191'  '276'  '825'  '914',104
26,'191'  '276'  '914',106
27,'191'  '825',108
28,'191'  '825'  '914',107
29,'191'  '914',110
30,'339'  '426'  '90',101
31,'339'  '426'  '90'  '914',101
32,'191'  '276'  '426'  '90',100
33,'276'  '426'  '825'  '90',101
34,'276'  '426'  '90'  '914',101
35,'276'  '426'  '825'  '90'  '914',100
36,'191'  '426'  '90',103
37,'191'  '426'  '90'  '914',102
38,'191'  '426'  '825'  '90',101
39,'191'  '426'  '825'  '90'  '914',100
40,'426'  '825'  '90'  '914',102
41,'426'  '90'  '914',104
42,'276'  '339'  '426',102
43,'276'  '339'  '426'  '825',101
44,'276'  '339'  '426'  '914',102
45,'276'  '339'  '426'  '825'  '914',101
46,'191'  '339'  '426',103
47,'191'  '339'  '426'  '825',101
48,'191'  '339'  '426'  '914',103
49,'191'  '339'  '426'  '825'  '914',101
50,'339'  '426'  '825',104
51,'339'  '426'  '825'  '914',104
52,'339'  '426'  '914',106
53,'191'  '426'  '825',105
54,'191'  '426'  '825'  '914',104
55,'191'  '426'  '914',106
56,'191'  '276'  '426'  '914',102
57,'191'  '276'  '426'  '825',102
58,'191'  '276'  '426'  '825'  '914',101
59,'276'  '426'  '825',106
60,'276'  '426'  '914',106
61,'276'  '426'  '825'  '914',105
62,'426'  '825',109
63,'426'  '825'  '914',108
64,'426'  '914',110
65,'146' ,113
66,'391'  '940',100
67,'391'  '480',101
68,'391'  '480'  '829',101
69,'391'  '73',102
70,'295'  '391'  '73',100
71,'391'  '73'  '829',102
72,'295'  '391'  '73'  '829',100
73,'295'  '391'  '534'  '758',100
74,'295'  '391'  '758'  '829',102
75,'391'  '534'  '758',104
