freq_items,frequency
330 ,102
729 ,102
856 ,109
490  856,103
856  906,103
490  856  906,103
102 ,109
199 ,109
62 ,110
191  276  339,102
191  276  339  825,100
191  276  339  914,102
191  276  339  825  914,100
191  339  90,102
191  339  90  914,102
191  339  825,103
191  339  825  914,103
191  339  914,106
191  825  90,104
191  825  90  914,103
191  90  914,106
191  276  825  90,102
191  276  825  90  914,101
191  276  90  914,103
191  276  825,105
191  276  825  914,104
191  276  914,106
191  825,108
191  825  914,107
191  914,110
339  426  90,101
339  426  90  914,101
191  276  426  90,100
276  426  825  90,101
276  426  90  914,101
276  426  825  90  914,100
191  426  90,103
191  426  90  914,102
191  426  825  90,101
191  426  825  90  914,100
426  825  90  914,102
426  90  914,104
276  339  426,102
276  339  426  825,101
276  339  426  914,102
276  339  426  825  914,101
191  339  426,103
191  339  426  825,101
191  339  426  914,103
191  339  426  825  914,101
339  426  825,104
339  426  825  914,104
339  426  914,106
191  426  825,105
191  426  825  914,104
191  426  914,106
191  276  426  914,102
191  276  426  825,102
191  276  426  825  914,101
276  426  825,106
276  426  914,106
276  426  825  914,105
426  825,109
426  825  914,108
426  914,110
146 ,113
391  940,100
391  480,101
391  480  829,101
391  73,102
295  391  73,100
391  73  829,102
295  391  73  829,100
295  391  534  758,100
295  391  758  829,102
391  534  758,104
391  534  758  829,103
391  758  829,107
295  391  534,106
295  391  534  829,105
295  391  829,108
391  534,110
391  534  829,109
391  829,113
56  663  862,100
56  663  694,101
56  663  775,102
56  694,109
56  694  775,107
56  694  862,104
56  694  775  862,102
56  775  862,105
56  775,110
662 ,114
100  91,103
594  91,105
142  91,106
228  82,103
228  511,105
228  511  760,100
228  982,107
228  760  982,104
228  760,113
131  501  554,101
131  242  501,102
501  554,111
242  501  554,106
242  501,113
42 ,119
545  72  749,116
268  545  72  749,116
545  606  749,116
545  606  72  749,115
268  545  606  749,116
268  545  606  72  749,115
545  606  749  841,115
268  545  606  749  841,115
545  72  749  841,115
545  606  72  749  841,114
268  545  72  749  841,115
268  545  606  72  749  841,114
268  545  749  841,116
351  545  749  841,115
268  351  545  749  841,115
351  545  606  749,115
351  545  606  749  841,114
268  351  545  606  749,115
268  351  545  606  749  841,114
351  545  606  72  749,114
268  351  545  606  72  749,114
351  545  72  749  841,114
351  545  606  72  749  841,113
268  351  545  72  749  841,114
268  351  545  606  72  749  841,113
268  351  545  72  749,115
268  351  545  749,116
268  545  749,117
351  545,118
268  351  545,118
545  841,118
351  545  841,117
268  545  841,118
268  351  545  841,117
545  606  841,117
